micros,ax,ay
7636004,-0.8331,-0.6280
7643976,-0.8557,-0.4734
7652034,-0.9112,-0.2195
7659952,-0.9678,-0.0190
7667992,-0.9664,-0.0186
7675964,-0.9579,0.0068
7684036,-0.9211,0.1671
7691979,-0.8372,0.4916
7700001,-0.6719,0.7325
7707952,-0.4918,0.7864
7716021,-0.2635,0.8576
7723985,-0.0658,0.9124
7731979,0.0610,0.8888
7739961,0.2054,0.8385
7748201,0.3694,0.7781
7755973,0.5511,0.6977
7763985,0.5762,0.6486
7771984,0.6330,0.4347
7780196,0.6945,0.1857
7787996,0.7299,-0.0541
7795946,0.6904,-0.1549
7803997,0.6449,-0.3594
7812002,0.5806,-0.7046
7820000,0.5476,-0.7614
7827950,0.4913,-0.7762
7835988,0.3687,-0.8300
7843947,0.1978,-0.8897
7852003,-0.0081,-0.9559
7859953,-0.1545,-0.9860
7867998,-0.3528,-0.9225
7875954,-0.6340,-0.8258
7884003,-0.8027,-0.7645
7891951,-0.8270,-0.6365
7899996,-0.8623,-0.4261
7907953,-0.9422,-0.1379
7915991,-0.9686,-0.0132
7923947,-0.9632,-0.0061
7932014,-0.9335,0.1114
7939949,-0.8665,0.3930
7947975,-0.7554,0.7020
7955967,-0.6946,0.7245
7963961,-0.5614,0.7654
7971983,-0.3503,0.8312
7980211,-0.1095,0.9121
7987994,-0.0113,0.9132
7995947,0.1073,0.8755
8003994,0.2511,0.8270
8011944,0.4381,0.7554
8019983,0.5645,0.6962
8027960,0.5826,0.6287
8035992,0.6029,0.4897
8043937,0.6546,0.3127
8051994,0.7261,0.0681
8059945,0.7238,-0.0436
8067990,0.7048,-0.0890
8075954,0.6595,-0.2856
8083984,0.5859,-0.6042
8091944,0.5338,-0.7639
8099979,0.4669,-0.7922
8107937,0.3311,-0.8476
